idinmueble,dpe,cct1,cct2,cct3,cct4,inmueble,coordinaci,operativa,principal,alcaldia,ciclo,plantel,conserjeri,habitada,exterior,comunes,aula,impermeabi,interior,exterior1,loseta,ventanas,ventanas1,ventanas2,puertas,escaleras,pluviales,techos,uvg,pluvial,chapoteade,alberca,arenero,gimnasio,elevador,inmueble1,operacion,civil,hidrosanit,sanitarios,interior1,desazolve,mamparas,septica,deterioro,agua,concreto,tinacos,cisterna,agua1,luminarias,electrica,transforma,escolar,lamina,deportivos,deportivas,emergencia,accesibili,rejas,perimetral,plantel1,arboles,tocones,arboreos,hojarasca,estudiante,maestros,familia,desconozco,escultura,busto,fuente,arbol,coord_x,coord_y
800266,,09DSN0020C,,,,PIONEROS DEL COOPERATIVISMO,Coordinación Sectorial de Educación Secundaria,Dirección Operativa de Educación Secundaria No. 2,Secundaria,AZCAPOTZALCO,2025-2026,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.185277,19.475208
800379,,09DML0103T,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 11,Dirección de Educación Especial e Inclusiva,Coordinación Regional de Operación No. 3,Especial - CAM,BENITO JUÁREZ,2025-2026,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.157272,19.365917
800482,,09DSN0037C,,,,MARIANO AZUELA,Coordinación Sectorial de Educación Secundaria,Dirección Operativa de Educación Secundaria No. 3,Secundaria,BENITO JUÁREZ,2025-2026,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,-99.14225,19.36826
800530,,09DML0034N,,,,INSTITUTO NACIONAL PARA LA REHABILITACIÓN DE NIÑOS CIEGOS Y DÉBILES VISUALES,Dirección de Educación Especial e Inclusiva,Coordinación Regional de Operación No. 3,Especial - CAM,COYOACÁN,2025-2026,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,-99.162142,19.357093
800673,,09DML0036L,,,,CENTRO DE ATENCIÓN MÚLTIPLE NO. 73,Dirección de Educación Especial e Inclusiva,Coordinación Regional de Operación No. 3,Especial - CAM,COYOACÁN,2025-2026,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-99.133815,19.350195
800914,,09DJN1079R,,,,REP. ESPAÑOLA,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Preescolar,CUAUHTÉMOC,2025-2026,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-99.131558,19.451552
800946,,09DBA0021Y,09DBS0033B,,,DR. LEOPOLDO SALAZAR VINIEGRA,Subdirección de Educación Básica para Adultos,Subdirección de Educación Básica para Adultos,Adultos - CEDEX,CUAUHTÉMOC,2025-2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.137714,19.423304
800949,,09DES1000O,09DES1001N,,,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,DGENAM,DGENAM,Secundaria,CUAUHTÉMOC,2025-2026,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-99.161421,19.442539
801403,,09DJN0075O,,,,FELIPE CARRILLO PUERTO,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 3,Preescolar,IZTACALCO,2025-2026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0978,19.386066
801557,,09DML0040Y,09DML0132O,,,CAM 20 HELLEN KELLER,Dirección de Servicios Educativos Iztapalapa,Dirección Regional Centro,Especial - CAM,IZTAPALAPA,2025-2026,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-99.091725,19.351988
801796,,09DDI0041B,,,,OLLIN CALLI,Dirección de Servicios Educativos Iztapalapa,Dirección Regional Centro,Inicial,IZTAPALAPA,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-99.087709,19.306655
802005,,09DTV0106G,,,,TELESECUNDARIA 106,Coordinación Sectorial de Educación Secundaria,Dirección Operativa de Educación Secundaria No. 3,Secundaria,IZTAPALAPA,2025-2026,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-99.091856,19.352515
802097,,09DPR1839Z,09DPR0837U,09DPR1840O,,"ESC. PRIM. ANEXA A LA BENM ""LUIS HIDALGO MONROY""",DGENAM,DGENAM,Primaria,MIGUEL HIDALGO,2025-2026,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-99.170178,19.447022
