codigo,alcaldia,colonia,nivel,cct,escuela,fam_potenciado_2025
CY119,COYOACÁN,XOTEPINGO,PREESCOLAR,09DJN0517T,JARDÍN DE NIÑOS  DAVID VILCHIS,66
TP126,TLALPAN,SAN PEDRO MARTIR,SECUNDARIA,09DST0054D,ESCUELA SECUNDARIA TÉCNICA  NO.  54,130
BJ069,BENITO JUÁREZ,ALAMOS,PREESCOLAR,09DJN0721D,JARDÍN DE NIÑOS  MANUEL MARIA PONCE,32
GM347,GUSTAVO A. MADERO,SAN BARTOLO ATEPEHUACAN,SECUNDARIA,09DES0048A,ESCUELA SECUNDARIA JUAN RUIZ DE ALARCÓN Y MENDOZA,13
CT191,CUAUHTÉMOC,DOCTORES,PRIMARIA,09DPR1319Q,ESCUELA PRIMARIA REVOLUCIÓN,117
MA020,MILPA ALTA,SAN SALVADOR CUAUHTENCO,SECUNDARIA,09DES0334V,ESCUELA SECUNDARIA QUAUHTZINTEPETL: LUGAR DEL ÁGUILA SAGRADA,77
IP312,IZTAPALAPA,SANTA CRUZ MEYEHUALCO,PRIMARIA,09DPR0858G,ESCUELA PRIMARIA PROFR. ANGEL SALAS BONILLA,90
BJ049,BENITO JUÁREZ,NATIVITAS,PRIMARIA,09DPR1284R,ESCUELA PRIMARIA JESUS GONZÁLEZ ORTEGA,4
AO015,ÁLVARO OBREGÓN,SAN BARTOLO AMEYALCO,PRIMARIA,09DPR1882N,ESCUELA PRIMARIA CARMEN SERDAN,112
AO025,ÁLVARO OBREGÓN,SAN BARTOLO AMEYALCO,SECUNDARIA,09DST0068G,ESCUELA SECUNDARIA TÉCNICA  NO.  68,1
AO053,ÁLVARO OBREGÓN,LOMAS DE LA ERA,PREESCOLAR,09DJN0548M,JARDÍN DE NIÑOS  MANUEL CERVANTES IMAZ,48
AO064,ÁLVARO OBREGÓN,PBO. SAN BARTOLO AMEYALCO,PRIMARIA,09DPR1922Y,ESCUELA PRIMARIA PROFR. ONOFRE MELENDEZ B.,49
AO067,ÁLVARO OBREGÓN,SAN BARTOLO AMEYALCO,PREESCOLAR,09DJN0319T,JARDÍN DE NIÑOS  REPÚBLICA DE KENIA,83
AO087,ÁLVARO OBREGÓN,SANTA ROSA XOCHIAC,PREESCOLAR,09DJN0616T,JARDÍN DE NIÑOS  XOCHIAC,84
AO107,ÁLVARO OBREGÓN,SANTA ROSA XOCHIAC,PRIMARIA,09DPR1903J,ESCUELA PRIMARIA CENOBIA GARCÍA NAVA,113
AO135,ÁLVARO OBREGÓN,SANTA ROSA XOCHIAC,SECUNDARIA,09DES0105B,ESCUELA SECUNDARIA JOSÉ GUADALUPE POSADA,50
AO145,ÁLVARO OBREGÓN,SANTA ROSA XOCHIAC,PRIMARIA,09DPR0864R,ESCUELA PRIMARIA MADRE MEXICANA,21
BJ015,BENITO JUÁREZ,ALAMOS,ESPECIAL,09DML0113Z,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 2,2
BJ027,BENITO JUÁREZ,NARVARTE ORIENTE,PRIMARIA,09DPR1145Q,ESCUELA PRIMARIA DR. MARIANO AZUELA,3
BJ056,BENITO JUÁREZ,NARVARTE,PRIMARIA,09DPR1118T,ESCUELA PRIMARIA LAOS,64
BJ057,BENITO JUÁREZ,ALAMOS,PRIMARIA,09DPR1314V,ESCUELA PRIMARIA LEONISMO INTERNACIONAL,63
BJ077,BENITO JUÁREZ,NARVARTE ORIENTE,PRIMARIA,09DPR1019T,ESCUELA PRIMARIA MONTES AZULES,33
BJ109,BENITO JUÁREZ,SAN PEDRO DE LOS PINOS (TACUBAYA),ESPECIAL,09DML0075N,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 76,15
CT040,CUAUHTÉMOC,DOCTORES,ESPECIAL,09DML0125E,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 14,101
CT063,CUAUHTÉMOC,DOCTORES,PRIMARIA,09DIX0030J,ESCUELA PRIMARIA ESCUELA DE PARTICIPACIÓN SOCIAL NUMERO 1,10
CT067,CUAUHTÉMOC,DOCTORES,SECUNDARIA,09DST0010G,ESCUELA SECUNDARIA TÉCNICA  NO.  10,11
CT114,CUAUHTÉMOC,DOCTORES,PREESCOLAR,09DJN0719P,JARDÍN DE NIÑOS  INES VILLARREAL,8
CT122,CUAUHTÉMOC,DOCTORES,SECUNDARIA,09DES0014K,ESCUELA SECUNDARIA JORGE QUIJANO,68
CT134,CUAUHTÉMOC,BUENOS AIRES,PRIMARIA,09DPR0867O,ESCUELA PRIMARIA LIC. FELIPE RIVERA,70
CT135,CUAUHTÉMOC,BUENOS AIRES,PRIMARIA,09DPR2527D,ESCUELA PRIMARIA LIC. FELIPE RIVERA,102
CT154,CUAUHTÉMOC,DOCTORES,PREESCOLAR,09DJN0799R,JARDÍN DE NIÑOS  MARGARITA ISAS PEREA,116
CT167,CUAUHTÉMOC,DOCTORES,PRIMARIA,09DPR1200T,ESCUELA PRIMARIA PEDRO SAINZ DE BARANDA,9
CT178,CUAUHTÉMOC,DOCTORES,PRIMARIA,09DPR1202R,ESCUELA PRIMARIA RAFAEL RAMOS PEDRUEZA,71
CT190,CUAUHTÉMOC,DOCTORES,PRIMARIA,09DPR2535M,ESCUELA PRIMARIA REPÚBLICA POPULAR CHINA,51
CT192,CUAUHTÉMOC,DOCTORES,PRIMARIA,09DPR1174L,ESCUELA PRIMARIA REVOLUCION,12
CT196,CUAUHTÉMOC,DOCTORES,PRIMARIA,09DPR2513A,ESCUELA PRIMARIA SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,69
CT199,CUAUHTÉMOC,DOCTORES,PRIMARIA,09DPR1166C,ESCUELA PRIMARIA SUIZA,39
CT226,CUAUHTÉMOC,DOCTORES,SECUNDARIA,09DES0102E,ESCUELA SECUNDARIA GENERAL FRANCISCO L. URQUIZO,40
CT227,CUAUHTÉMOC,DOCTORES,PREESCOLAR,09DJN1190M,JARDÍN DE NIÑOS  MTRA. YOLANDA BENITEZ GUTIERREZ,38
CY012,COYOACÁN,PEDREGAL DE SANTA URSULA,PREESCOLAR,09DJN0847K,JARDÍN DE NIÑOS  CARLOS A. CARRILLO,85
CY021,COYOACÁN,CTM CULHUACAN VIII,ESPECIAL,09DML0033O,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 31,7
CY026,COYOACÁN,"CTM CULHUACAN INFONAVIT, SECCION OCHO",SECUNDARIA,09DES0299F,ESCUELA SECUNDARIA CIRO E. GONZÁLEZ BLACKALLER,5
CY037,COYOACÁN,PEDREGAL DE SANTA URSULA,SECUNDARIA,09DST0067H,ESCUELA SECUNDARIA TÉCNICA  NO.  67,114
CY057,COYOACÁN,PEDREGAL DE SANTA URSULA,PRIMARIA,09DPR3250O,ESCUELA PRIMARIA LIC. ANTONIO MARTÍNEZ  DE CASTRO,35
CY071,COYOACÁN,PEDREGAL DE SANTA URSULA,PRIMARIA,09DPR2834K,ESCUELA PRIMARIA PROFR. ALFREDO BASURTO GARCÍA,86
CY078,COYOACÁN,CTM SAN FRANCISCO CULHUACAN,PRIMARIA,09DPR4220A,ESCUELA PRIMARIA PROFR. JOSÉ DE JESUS DE LA ROSA PÉREZ,6
CY079,COYOACÁN,PEDREGAL DE SANTA URSULA,PRIMARIA,09DPR2970O,ESCUELA PRIMARIA PROFR. LIBRADO RIVERA,100
CY083,COYOACÁN,CTM SECCION NUEVE,PRIMARIA,09DPR0142M,ESCUELA PRIMARIA PROFRA. MARIA EPIGMENIA ARRIAGA SALGADO,99
CY096,COYOACÁN,CTM CULHUACAN,PRIMARIA,09DPR4199O,ESCUELA PRIMARIA XAVIER VILLAURRUTIA,34
BJ094,BENITO JUÁREZ,NATIVITAS,PREESCOLAR,09DJN0147R,JARDÍN DE NIÑOS  REPÚBLICA DE ECUADOR,98
CY148,COYOACÁN,CTM OCHO,PREESCOLAR,09DJN0863B,JARDÍN DE NIÑOS  LUZ GARCÍA DE CAMPILLO,67
CY151,COYOACÁN,CTM SECCION NUEVE,PRIMARIA,09DPR0048H,ESCUELA PRIMARIA MAESTRO RICARDO SALGADO CORRAL,65
CY152,COYOACÁN,CTM SECCION NUEVE,PREESCOLAR,09DJN0905K,JARDÍN DE NIÑOS  MAHATMA GANDHI,36
CY161,COYOACÁN,CTM SAN FRANCISCO CULHUACAN,PRIMARIA,09DPR0101M,ESCUELA PRIMARIA PROFR. FRANCISCO JAVIER LILLY HUERTA,115
GM087,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,SECUNDARIA,09DST0030U,ESCUELA SECUNDARIA TÉCNICA  NO.  30,22
GM094,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,PREESCOLAR,09DJN1032X,JARDÍN DE NIÑOS  ESTADO DE OAXACA,73
GM106,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,PRIMARIA,09DPR1443P,ESCUELA PRIMARIA GERTRUDIS BOCANEGRA DE LAZO DE LA VEGA,87
GM137,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,PRIMARIA,09DPR2167I,ESCUELA PRIMARIA KOWEIT,119
GM224,GUSTAVO A. MADERO,CAMPESTRE ARAGON,PRIMARIA,09DPR2735K,ESCUELA PRIMARIA RAMÓN LÓPEZ VELARDE,118
GM268,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,PREESCOLAR,09DJN0267D,JARDÍN DE NIÑOS  VICENTE RIVA PALACIO,52
GM392,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,PRIMARIA,09DPR2825C,ESCUELA PRIMARIA PROFR. PABLO DAMIAN GONZÁLEZ,53
IP084,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,PREESCOLAR,09DJN0741R,JARDÍN DE NIÑOS  CUICUICANI,55
IP116,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,SECUNDARIA,09DST0113C,ESCUELA SECUNDARIA TÉCNICA  NO.  113,24
IP156,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,PRIMARIA,09DPR2865D,ESCUELA PRIMARIA GENOVEVA CORTES,88
IP186,IZTAPALAPA,LOMAS DE LA ESTANCIA,SECUNDARIA,09DES0291N,ESCUELA SECUNDARIA ING. JAVIER BARROS SIERRA,91
