responsable,estado,escuela,nivel,cct,colonia,alcaldia,trabajos_finales,trabajos_solicitados,modalidad,avance
DGCOP,CONTRATADO,LIC. JOSÉ VASCONCELOS,PREESCOLAR,09DJN0168D,NUEVA ATZACOALCO II,GUSTAVO A. MADERO,"-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE INSTALACIONES  HIDROSANITARIAS
-REHABILITACION DE MURO PERIMETRAL
-IMPERMEABILIZACION
-REHABILITACION DE CANCELERIA Y HERRERIA 
-PINTURA EN EDIFICIOS Y/ O AULAS 
-POSTE 
-BURLADERO
-PINTURA EN FACHADA","-REHABILITACION DE INSTALACION HIDROSANITARIA 
-REHABILITACION DE NUCLEOS SANITARIOS
-REHABILITACIONDE DE CANCELERIA Y HERRERIA
-REHABILITACION DE ESCALERAS
-IMPERMEABILIZACION
-PINTURA DE AULAS Y EDIFICIOS",EN LINEA,89.95%
DGCOP,CONTRATADO,GRAL. MIGUEL NEGRETE,PRIMARIA,09DPR1544N,NUEVA ATZACOALCO II,GUSTAVO A. MADERO,"-REHABILITACION DE INSTALACIONES  ELECTRICAS
-IMPERMEABILIZACION
-PINTURA EN EDIFICIOS Y/ O AULAS 
-POSTE 
-BURLADERO
-PINTURA EN FACHADA
-AULA DIGITAL MIXTLI","-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-REHABILITACION DE INSTALACIONES ELECTRICAS
-CONSTRUCION DE CUBIERTA EN PATIO
-REHABILITACION DE CANCELERIA Y HERRERIA",PRESENCIAL,80.26%
DGCOP,CONTRATADO,BELICE,PRIMARIA,09DPR3219E,NUEVA ATZACOALCO I,GUSTAVO A. MADERO,"-IMPERMEABILIZACION
-PINTURA EN EDIFICIOS Y/ O AULAS 
-POSTE 
-BURLADERO
-PINTURA EN FACHADA
-AULA DIGITAL MIXTLI","-PINTURA EN EDIFICIOS Y AULAS
-REHABILTACION DE INSTALACIONES ELECTRICAS
-IMPERMEABILIZACION
-REHABILITACION DE PISOS EN ANDADORES O PATIOS",PRESENCIAL,99.00%
DGCOP,CONTRATADO,MANUEL GUTIERREZ NAJERA,PRIMARIA,09DPR1360G,NUEVA ATZACOALCO II,GUSTAVO A. MADERO,"-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE INSTALACIONES  HIDROSANITARIAS
-REHABILITACION DE INSTALACIONES  ELECTRICAS
-IMPERMEABILIZACION
-PINTURA EN EDIFICIOS Y/ O AULAS 
-POSTE 
-BURLADERO
-PINTURA EN FACHADA
--AULA DIGITAL MIXTLI","-REHABILITACION DE NUCLEOS SANITARIOS
-REHABILITACION DE MURO PERIMETRAL
-IMPERMEABILIZACION
-REHABILITACION DE INSTALACION SANITARIAS
-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE PATIOS",PRESENCIAL,88.45%
DGCOP,CONTRATADO,GILBERTO BORJA NAVARRETE,SECUNDARIA,09DES0282F,NUEVA ATZACOALCO I,GUSTAVO A. MADERO,"-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE INSTALACIONES  HIDROSANITARIAS
-REHABILITACION DE MURO PERIMETRAL
-REHABILITACION  DE PISOS, ANDADORES O PATIOS
-POSTE 
-BURLADERO
-PINTURA EN FACHADA
-AULA DIGITAL MIXTLI","-REHABILITACION DE CANCELERIA Y HERRERIA
-REHABILITACION DE MURO PERIMETRAL
-REHABILITACION DE INSTALACION HIDROSANITARIA
-REHABILITACION DE NUCLEOS SANITARIOS
-CONSTRUCCION DE CUBIERTA EN PATIO",PRESENCIAL,80.00%
DGCOP,CONTRATADO,ESCUELA SECUNDARIA TÉCNICA 65 LUIS LOPEZ ANTUNEZ,SECUNDARIA,09DST0065J,MAGDALENA DE LAS SALINAS,GUSTAVO A. MADERO,"-REHABILITACION DE INSTALACIONES  ELECTRICAS
-IMPERMEABILIZACION
-REHABILITACION  DE PISOS, ANDADORES O PATIOS
-REHABILITACION DE ESCALERAS DE EMERGENCIA
-TECHO EN TINACOS
-POSTE 
-BURLADERO
-PINTURA EN FACHADA
-AULA DIGITAL MIXTLI","-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA
-REHABILITACION DE INSTALACIONES ELECTRICAS 
-TECHOS EN TINACOS, CANALETAS
-IMPERMEABILIZACION
-REHABILITACION DE CANCELERIA Y HERRERIA 
-REPARACION DE PISOS CERAMICOS
-CONSTRUCCIONDE CUBIERTA EN PATIO
-REHABILITACION DE PISOS EN ANADADORES O PATIOS",PRESENCIAL,99.50%
DGCOP,CONTRATADO,WENCESLAO VICTORIA SOTO,SECUNDARIA,09DES0340F,TLALPEXCO,GUSTAVO A. MADERO,"-REHABILITACION DE INSTALACIONES  ELECTRICAS
-REHABILITACION DE MURO PERIMETRAL
-CONSTRUCCION DE CUBIERTA EN PATIO
-PINTURA EN EDIFICIOS Y/ O AULAS 
-POSTE 
-BURLADERO
-PINTURA EN FACHADA
-AULA DIGITAL MIXTLI","-CONSTRUCCION DE CUBIERTA EN PATIO
-REHABILITACION DE MURO PERIMETRAL
-REPARACION DE PISOS CERAMICOS
-REHABILITACION DE INSTALACIONES ELECTRICAS
-CONSTRUCCION DE AULAS DE USOS MULTIPLES
-PINTURA EN EDIFICIOS Y AULAS",PRESENCIAL,98.50%
DGCOP,CONTRATADO,MARGARITA MAZA DE JUÁREZ,SECUNDARIA,09DES0099H,25 DE JULIO,GUSTAVO A. MADERO,"-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE INSTALACIONES  HIDROSANITARIAS
-IMPERMEABILIZACION
-PINTURA EN EDIFICIOS Y/ O AULAS 
-POSTE 
-BURLADERO
-PINTURA EN FACHADA
-AULA DIGITAL MIXTLI","-IMPERMEABILIZACION
-REHABILITACION DE NUCLEOS SANITARIOS
-REHABILITACION DE PISOS Y ANDADORES
-REHABILITACION DE INSTALACIONES ELECTRICAS
-PINTURA EN AULA Y EDIFICIO
-OTROS: REHABILITACION DE TALLERES",PRESENCIAL,98.50%
DGCOP,CONTRATADO,DEFENSORES DE LA REPÚBLICA,PRIMARIA,09DPR1574H,DEFENSORES DE LA REPUBLICA,GUSTAVO A. MADERO,"-REHABILITACION DE INSTALACIONES  HIDROSANITARIAS
-REHABILITACION DE MURO PERIMETRAL
-IMPERMEABILIZACION
-REHABILITACION DE CANCELERIA Y HERRERIA 
-PINTURA EN EDIFICIOS Y/ O AULAS 
--POSTE 
-BURLADERO
-PINTURA EN FACHADA
-AULA DIGITAL MIXTLI","-REHABILITACION DE INSTALACIONES HIDROSANITARIAS 
-IMPERMEABILIZACION
-PINTURA DE AULAS Y EDIFICIOS
-REHABILITACION DE MURO PERIMETRAL
-REHABILITACION DE CANCELERIA Y HERRERIA",PRESENCIAL,95.50%
DGCOP,CONTRATADO,REPÚBLICA DE COLOMBIA,SECUNDARIA,09DES0081I,BONDOJITO,GUSTAVO A. MADERO,"-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE INSTALACIONES  HIDROSANITARIAS
-IMPERMEABILIZACION
-REHABILITACION  DE PISOS, ANDADORES O PATIOS
-REHABILITACION DE CANCELERIA Y HERRERIA
-REHABILITACION DE ESCALERAS DE EMERGENCIA 
-POSTE 
-BURLADERO
-PINTURA EN FACHADA
-AULA DIGITAL MIXTLI","-REHABILITACION DE PISOS EN ANDADORES O PATIOS
-IMPERMEABILIZACION
-REHABILITACION DE CANCELERIA Y HERRERIA
-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE INSTALACIONES HIDROSANITARIO
-REHABILITACION DE NUCLEOS SANITARIOS
PINTURA EN EDIFICIOS Y AULAS",PRESENCIAL,80.00%
