codigo,alcaldia,colonia,direccion,nivel,cct,escuela,intervencion
IP144,IZTAPALAPA,LEYES DE REFORMA,"CALLE LEYES DE REFORMA Y GUERRA DE REFORMA  S/N, COLONIA LEYES DE REFORMA, ALCALDÍA IZTAPALAPA, C.P. 09310, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0163S,ESCUELA SECUNDARIA FRANCISCO JAVIER MINA,30 SOBSE
IP231,IZTAPALAPA,LAS PEÑAS,"CALLE PLATON SANCHEZ Y CLAVEL  S/N, COLONIA LAS PEÑAS, ALCALDÍA IZTAPALAPA, C.P. 09750, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0287A,ESCUELA SECUNDARIA JULIO VERNE,30 SOBSE
TP051,TLALPAN,TLALPAN,"CALLE MAGISTERIO NACIONAL NO.  118, COLONIA TLALPAN, ALCALDÍA TLALPAN, C.P. 14000, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2016C,ESCUELA PRIMARIA IGNACIO RODRÍGUEZ GALVAN,30 SOBSE
IP048,IZTAPALAPA,CHINAMPAC DE JUAREZ,"CALLE RADIODIFUSION Y TELECOMUNICACIONES  S/N, COLONIA CHINAMPAC DE JUAREZ, ALCALDÍA IZTAPALAPA, C.P. 09208, CIUDAD DE MÉXICO.",ESPECIAL,09DML0047R,ESCUELA DE EDUCACION ESPECIAL - CAM CAM 38 ALEXANDER GRAHAM BELL,30 SOBSE
IP037,IZTAPALAPA,TENORIOS,"CALLE PINO Y COLORINES  S/N, COLONIA TENORIOS, ALCALDÍA IZTAPALAPA, C.P. 09680, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5124E,ESCUELA PRIMARIA BEATRIZ DE LA FUENTE,30 SOBSE
CY125,COYOACÁN,LOS CIPRESES,"CALLE SARGENTO SEGUNDO GUSTAVO SALAZAR BEJARANO Y PEDRO SAINZ DE BARANDA  S/N, COLONIA LOS CIPRESES, ALCALDÍA COYOACÁN, C.P. 04830, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0043Y,ESCUELA SECUNDARIA TÉCNICA  NO.  43,30 SOBSE
CT069,CUAUHTÉMOC,GUERRERO,"CALLE EJE CENTRAL LAZARO CARDENAS NO.  10, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0002Y,ESCUELA SECUNDARIA TÉCNICA  NO.  2,30 SOBSE
CT120,CUAUHTÉMOC,CENTRO,"CALLE SEGUNDO DE MESONES  NO.  1, COLONIA CENTRO, ALCALDÍA CUAUHTÉMOC, C.P. 06090, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2491F,ESCUELA PRIMARIA JOAQUIN GARCÍA ICAZBALCETA,30 SOBSE
CY007,COYOACÁN,LOS GIRASOLES,"CALLE RANCHO SAN LORENZO Y MIRADORES  S/N, COLONIA LOS GIRASOLES, ALCALDÍA COYOACÁN, C.P. 04920, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0342U,JARDÍN DE NIÑOS  AMELIA ARELLANO,30 SOBSE
CY053,COYOACÁN,CTM SAN FRANCISCO CULHUACAN,"CALLE  DE LA VIRGEN NO.  3000, UNIDAD HABITACIONAL  CTM SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5098X,ESCUELA PRIMARIA JOSÉ SANTOS VALDEZ,30 SOBSE
